asset_id,asset_name,asset_class,quality_status,quality_flags
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,OK,OK
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,OK,OK
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,OK,OK
TN0007310568,E.O HL 2020-03,Obligations corporate,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_PD_LGD_NOT_MODELED
EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,PASSED_WITH_WARNINGS,DATA_MISSING_CASHFLOW;MODEL_LIMITATION_PD_LGD_NOT_MODELED;MODEL_LIMITATION_COMPONENT_REWEIGHTED
AMEN_BANK,AMEN BANK,Actions cotées,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,PASSED_WITH_WARNINGS,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
BIAT,BIAT,Actions cotées,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
BT,BT,Actions cotées,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
CITY_CARS,CITY CARS,Actions cotées,PASSED_WITH_WARNINGS,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
DELICE_HOLDING,DELICE HOLDING,Actions cotées,PASSED_WITH_WARNINGS,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
ENNAKL,ENNAKL,Actions cotées,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
PGH,PGH,Actions cotées,PASSED_WITH_WARNINGS,HIGH_HISTORICAL_RETURN_NOT_FORECAST;EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_NO_EQUITY_DCF;PCA_DIAGNOSTIC_ONLY
