asset_id,asset_name,asset_class,asset_type,mu_DCF_BuildingBlocks,mu_Factor,mu_Historical_Shrunk,w_DCF,w_Factor,w_Hist,mu_PCA_Scenario_Adjustment,ExAnte_Prudent,ExAnte_Central,ExAnte_Optimistic,Historical_Raw_Comparative,quality_status,quality_flags,APT_Prudent,APT_Central,APT_Optimistic
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.0940350758060686,0.10097408999354494,0.11577633902694437,0.8,0.05,0.15,0.011039707397952358,0.07811457279885903,0.09764321599857378,0.11717185919828854,0.11758162388308535,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED,0.07811457279885903,0.09764321599857378,0.11717185919828854
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.0940350758060686,0.10010101798748564,0.11446610337691876,0.8,0.05,0.15,0.008618200188027104,0.07792242164061358,0.09740302705076698,0.11688363246092037,0.11446610337691876,OK,OK,0.07792242164061358,0.09740302705076698,0.11688363246092037
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.0940350758060686,0.09939746825390167,0.11083122703369375,0.8,0.05,0.15,0.003116883748020116,0.07745809449008322,0.09682261811260402,0.11618714173512483,0.10335414872599946,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED,0.07745809449008322,0.09682261811260402,0.11618714173512483
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.0940350758060686,0.10064361714568416,0.1137128785070457,0.8,0.05,0.15,0.008749423356498188,0.07785373862255676,0.09731717327819595,0.11678060793383513,0.11295965363717264,OK,OK,0.07785373862255676,0.09731717327819595,0.11678060793383513
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.0940350758060686,0.10150785164537225,0.11540505212235785,0.8,0.05,0.15,0.010729998530934884,0.07809136883638174,0.09761421104547717,0.1171370532545726,0.11634400086779695,OK,OK,0.07809136883638174,0.09761421104547717,0.1171370532545726
TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.1039350758060686,0.10989571244394034,0.10820763922985871,0.7,0.05,0.25,0.0022437976333023815,0.08424099879512778,0.10530124849390972,0.12636149819269166,0.10287740998679573,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED,0.08424099879512778,0.10530124849390972,0.12636149819269166
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.1039350758060686,0.10802040545159462,0.10799591789605831,0.7,0.05,0.25,0.001819080575495692,0.08412364224867387,0.10515455281084234,0.12618546337301081,0.10146593442812635,PASSED_WITH_WARNINGS,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_PD_LGD_NOT_MODELED,0.08412364224867387,0.10515455281084234,0.12618546337301081
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.1039350758060686,0.11213639564685672,0.11349357791836984,0.7,0.05,0.25,0.004320971370663128,0.08538781386094665,0.10673476732618332,0.12808172079142,0.11344928736381799,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED,0.08538781386094665,0.10673476732618332,0.12808172079142
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.1039350758060686,0.11106783699316494,0.11232396730115429,0.7,0.05,0.25,0.005425067001884681,0.08511114939135588,0.10638893673919485,0.12766672408703383,0.1111100661293869,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED,0.08511114939135588,0.10638893673919485,0.12766672408703383
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.1039350758060686,0.11143268598612198,0.11419218226185629,0.7,0.05,0.25,0.006136395807394685,0.08549938634321455,0.1068742329290182,0.12824907951482184,0.11484649605079089,PASSED_WITH_WARNINGS,MODEL_LIMITATION_PD_LGD_NOT_MODELED,0.08549938634321455,0.1068742329290182,0.12824907951482184
