asset_id,asset_name,asset_class,modified_duration,residual_maturity,duration_used,duration_source,data_quality_flag
BTA_7_4_02_2030,"BTA 7,4% 02/2030",government_bond,,4.126027397260274,4.126027397260274,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
BTA_7_5_12_2028,"BTA 7,5% 12/2028",government_bond,,2.9534246575342467,2.9534246575342467,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,government_bond,,0.6520547945205479,0.6520547945205479,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,government_bond,,6.715068493150685,6.715068493150685,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,government_bond,,7.93972602739726,7.0,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TN0007310568,E.O HL 2020-03,corporate_bond,,0.07945205479452055,0.07945205479452055,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TN0003100872,EO BNA SUB 2021-1,corporate_bond,,0.07945205479452055,0.07945205479452055,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TNHFN9X6ARP3,EO ADVANS 2022-1,corporate_bond,,1.2027397260273973,1.2027397260273973,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TN8DSPQCBC06,EO ATL 2022-1,corporate_bond,,1.7945205479452055,1.7945205479452055,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TNL7VQZVHR54,EO HL 2023-1,corporate_bond,,2.2383561643835614,2.2383561643835614,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TNYGOCQ2WZX6,EO BH LEASING 2023-1,corporate_bond,,2.3643835616438356,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
TNDE9EH7SA12,EO AB SUB 2023-2,corporate_bond,,2.835616438356164,2.835616438356164,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
EO_ATL_2025_2,EO ATL 2025-2,corporate_bond,,5.191780821917808,5.191780821917808,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
AMEN_BANK,AMEN BANK,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
ATTIJARI_BANK,ATTIJARI BANK,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
BIAT,BIAT,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
BT,BT,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
CITY_CARS,CITY CARS,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
DELICE_HOLDING,DELICE HOLDING,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
ENNAKL,ENNAKL,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
PGH,PGH,listed_equity,,,2.3643835616438356,PROXY_MIN_residual_maturity_7Y,DURATION_PROXY_USED
