requested_sheet_name,excel_sheet_name,is_truncated_for_excel,comment
Synthese_Modeles,Synthese_Modeles,False,Nom inchangé.
Poids_Optimises,Poids_Optimises,False,Nom inchangé.
Frontier_Efficient,Frontier_Efficient,False,Nom inchangé.
Monte_Carlo_Feasible,Monte_Carlo_Feasible,False,Nom inchangé.
Turnover_Sensitivity,Turnover_Sensitivity,False,Nom inchangé.
Turnover_Sensitivity_Raw,Turnover_Sensitivity_Raw,False,Nom inchangé.
Stress_Tests,Stress_Tests,False,Nom inchangé.
Duration_Input_For_Stress,Duration_Input_For_Stress,False,Nom inchangé.
Stress_Test_Summary,Stress_Test_Summary,False,Nom inchangé.
Stress_Test_By_Asset,Stress_Test_By_Asset,False,Nom inchangé.
Regulatory_Checks,Regulatory_Checks,False,Nom inchangé.
Regulatory_Scope_Summary,Regulatory_Scope_Summary,False,Nom inchangé.
Regulatory_Constraints_Config,Regulatory_Constraints_Config,False,Nom inchangé.
Regulatory_Check_By_Portfolio,Regulatory_Check_By_Portfolio,False,Nom inchangé.
Regulatory_Final_Table,Regulatory_Final_Table,False,Nom inchangé.
Portfolio_Plausibility_Checks,Portfolio_Plausibility_Checks,False,Nom inchangé.
Covariance_Source_Summary,Covariance_Source_Summary,False,Nom inchangé.
Turnover_Sensitivity_Interpretation,Turnover_Sensitivity_Interpreta,True,Excel limite les noms de feuilles à 31 caractères.
Backtest_Returns,Backtest_Returns,False,Nom inchangé.
Backtest_Frequency_Control,Backtest_Frequency_Control,False,Nom inchangé.
Return_Frequency_Diagnostic,Return_Frequency_Diagnostic,False,Nom inchangé.
Backtest_Metrics,Backtest_Metrics,False,Nom inchangé.
Backtest_Drawdowns,Backtest_Drawdowns,False,Nom inchangé.
Backtest_Quality_Flags,Backtest_Quality_Flags,False,Nom inchangé.
Walk_Forward_Summary,Walk_Forward_Summary,False,Nom inchangé.
Scenario_Config,Scenario_Config,False,Nom inchangé.
Scenario_Results_By_Portfolio,Scenario_Results_By_Portfolio,False,Nom inchangé.
Scenario_Results_By_Asset,Scenario_Results_By_Asset,False,Nom inchangé.
Historical_Regulatory_Backtest,Historical_Regulatory_Backtest,False,Nom inchangé.
Final_Model_Validation_Summary,Final_Model_Validation_Summary,False,Nom inchangé.
APT_Plausibility_Summary,APT_Plausibility_Summary,False,Nom inchangé.
VaR_CVaR_Convention,VaR_CVaR_Convention,False,Nom inchangé.
Frontier_Model_Consistency_Check,Frontier_Model_Consistency_Chec,True,Excel limite les noms de feuilles à 31 caractères.
Efficient_Frontier_Valid,Efficient_Frontier_Valid,False,Nom inchangé.
Weights_By_Model,Weights_By_Model,False,Nom inchangé.
Monte_Carlo,Monte_Carlo,False,Nom inchangé.
Visualization_Control,Visualization_Control,False,Nom inchangé.
Monte_Carlo_Selection_Check,Monte_Carlo_Selection_Check,False,Nom inchangé.
Sharpe_Level_Control,Sharpe_Level_Control,False,Nom inchangé.
Turnover_Sensitivity_Status,Turnover_Sensitivity_Status,False,Nom inchangé.
Regulatory_Checks_Summary,Regulatory_Checks_Summary,False,Nom inchangé.
Regulatory_Constraints_Map,Regulatory_Constraints_Map,False,Nom inchangé.
Internal_Constraints_Map,Internal_Constraints_Map,False,Nom inchangé.
APT_Plausibility_Check,APT_Plausibility_Check,False,Nom inchangé.
Final_Controls,Final_Controls,False,Nom inchangé.
Controle_Final,Controle_Final,False,Nom inchangé.
Inputs_APT,Inputs_APT,False,Nom inchangé.
Input_Files_Check,Input_Files_Check,False,Nom inchangé.
Asset_Alignment,Asset_Alignment,False,Nom inchangé.
Current_Portfolio,Current_Portfolio,False,Nom inchangé.
Optimized_Weights,Optimized_Weights,False,Nom inchangé.
Weights_By_Model_Long,Weights_By_Model_Long,False,Nom inchangé.
Weights_By_Model_Matrix,Weights_By_Model_Matrix,False,Nom inchangé.
Optimization_Comparison,Optimization_Comparison,False,Nom inchangé.
Efficient_Frontier,Efficient_Frontier,False,Nom inchangé.
Frontier_Model_Check,Frontier_Model_Check,False,Nom inchangé.
Monte_Carlo_All_Portfolios,Monte_Carlo_All_Portfolios,False,Nom inchangé.
Monte_Carlo_Feasible_Portfolios,Monte_Carlo_Feasible_Portfolios,False,Nom inchangé.
Risk_Contributions,Risk_Contributions,False,Nom inchangé.
Constraints_Active,Constraints_Active,False,Nom inchangé.
MultiObjective_Scores,MultiObjective_Scores,False,Nom inchangé.
Final_Recommendation,Final_Recommendation,False,Nom inchangé.
Optimization_Assumptions,Optimization_Assumptions,False,Nom inchangé.
Optimization_References,Optimization_References,False,Nom inchangé.
Optimization_Final_Control,Optimization_Final_Control,False,Nom inchangé.
Controle_Final_Optimisation,Controle_Final_Optimisation,False,Nom inchangé.
