check_name,status
PROJECT_ROOT_DETECTED,PASSED
INPUT_FILES_FOUND,PASSED
NOTEBOOK02_ENCODING_CLEAN,PASSED
NOTEBOOK02_MARKDOWN_ENCODING_CLEAN,PASSED
APT_INPUTS_LOADED,PASSED
ASSET_ALIGNMENT_OK,PASSED
SIGMA_APT_PSD,PASSED
NO_SHORT_SELLING,PASSED
OPTIMIZATION_MODELS_SOLVED,PASSED
TURNOVER_CONSTRAINT_APPLIED_TO_ALL_MODELS,PASSED
MONTE_CARLO_TURNOVER_FILTERED,PASSED
MONTE_CARLO_FEASIBLE_PORTFOLIOS_AVAILABLE,PASSED
WEIGHTS_BY_MODEL_DISPLAYED,PASSED
EFFICIENT_FRONTIER_REBUILT,PASSED
FRONTIER_CONSISTENT_WITH_MIN_VARIANCE,PASSED
MODELS_FRONTIER_CONSISTENCY_CHECKED,PASSED
MIN_VARIANCE_SOLVED,PASSED
MEAN_VARIANCE_LAMBDA_2_SOLVED,PASSED
MEAN_VARIANCE_LAMBDA_5_SOLVED,PASSED
MEAN_VARIANCE_LAMBDA_10_SOLVED,PASSED
MEAN_VARIANCE_LAMBDA_20_SOLVED,PASSED
MAX_SHARPE_SOLVED,PASSED
MAX_RETURN_SOLVED,PASSED
MEAN_CVAR_SOLVED,PASSED
MEAN_CVAR_VAR_CVAR_VALIDATED,PASSED
RISK_PARITY_SOLVED,PASSED
EFFICIENT_FRONTIER_VALIDATED,PASSED
REGULATORY_CONSTRAINTS_CLARIFIED,PASSED
REGULATORY_SCOPE_CLARIFIED,PASSED
REGULATORY_CONFIG_COMPLETE,PASSED
TOTAL_PORTFOLIO_CONSTRAINTS_CHECKED,PASSED
UNTESTED_CONSTRAINTS_EXPLICIT,PASSED
HIGH_SHARPE_FLAGS_DONE,PASSED
COVARIANCE_SOURCE_DOCUMENTED,PASSED
REGULATORY_CHECKS_CLARIFIED,PASSED
TURNOVER_SENSITIVITY_DONE,PASSED
TURNOVER_SENSITIVITY_INTERPRETED,PASSED
APT_PLAUSIBILITY_CHECK_DONE,PASSED
VAR_CVAR_CONVENTION_CLARIFIED,PASSED
FIXED_INCOME_STRESS_TEST_DONE,WARNING_IF_PROXY
FIXED_INCOME_STRESS_DURATION_HANDLED,PASSED
MULTICRITERIA_SCORING_CLARIFIED,PASSED
SHARPE_HIGH_REVIEW_DONE,PASSED
MONTE_CARLO_SELECTION_CHECKED,PASSED
TURNOVER_ZERO_NOT_INFEASIBLE,PASSED
REGULATORY_FINAL_TABLE_AVAILABLE,PASSED
STATIC_BACKTEST_DONE,PASSED
RETURN_FREQUENCY,daily
PERIODS_PER_YEAR,252
BACKTEST_DATA_FREQUENCY,daily
BACKTEST_PERIODS_PER_YEAR,252
FREQUENCY_INFERRED_DAILY,PASSED
WALK_FORWARD_VALIDATION_DONE_OR_SKIPPED_WITH_REASON,PASSED
WALK_FORWARD_DONE_OR_SKIPPED_WITH_REASON,PASSED
SCENARIO_ANALYSIS_DONE,PASSED
HISTORICAL_REGULATORY_BACKTEST_DONE,PASSED
FINAL_MODEL_VALIDATION_SUMMARY_DONE,PASSED
ALL_NEW_EXPORTS_DONE,PASSED
ALL_NEW_FIGURES_EXPORTED,PASSED
MULTICRITERIA_SCORING_DOCUMENTED,PASSED
NOTEBOOK_GRAPHS_DISPLAYED,PASSED
FIGURES_EXPORTED,PASSED
ALL_REQUIRED_FIGURES_DISPLAYED,PASSED
ALL_REQUIRED_FIGURES_EXPORTED,PASSED
EXCEL_EXPORT_UPDATED,PASSED
CSV_EXPORTS_UPDATED,PASSED
EXPORTS_CREATED,PASSED
QUALITY_SCORE_ESTIMATED,90
FINAL_STATUS,PASSED_WITH_WARNINGS
