requested_date,portfolio_name,total_portfolio_value_estimated,government_bond_exposure,equity_exposure,corporate_bond_exposure,regulatory_status,worst_margin_constraint,worst_margin_value
2025-01-03,Current_Portfolio,508601356.2073649,114958131.77752939,40134095.349832445,175341447.94924793,OK,STATE_MIN_20_PT,62725322.91041538
2025-01-06,Current_Portfolio,509204273.1157517,115048059.4801014,40504123.054747194,175484409.4501479,OK,STATE_MIN_20_PT,62815250.6129874
2025-01-07,Current_Portfolio,509054079.03826654,115077966.44250591,40276361.22700561,175532070.2379999,OK,STATE_MIN_20_PT,62845157.5753919
2025-01-08,Current_Portfolio,509073652.2660144,115110413.36120375,40213222.97802743,175582334.79602808,OK,STATE_MIN_20_PT,62877604.49408974
2025-01-09,Current_Portfolio,509353558.3554072,115140352.24565886,40415509.87162016,175630015.10737303,OK,STATE_MIN_20_PT,62907543.37854485
2025-01-10,Current_Portfolio,509447107.521407,115170276.55946071,40431460.61264752,175677689.21854365,OK,STATE_MIN_20_PT,62937467.69234671
2025-01-13,Current_Portfolio,509421250.7949213,115251208.45322706,40185210.20678784,175817151.0041512,OK,STATE_MIN_20_PT,63018399.58611305
2025-01-14,Current_Portfolio,509760763.3249169,115281402.69554353,40447038.622908525,175864640.8757097,OK,STATE_MIN_20_PT,63048593.82842952
2025-01-15,Current_Portfolio,510522583.1980868,115306739.61210367,41152926.949895084,175895235.5053329,OK,STATE_MIN_20_PT,63073930.74498966
2025-01-16,Current_Portfolio,510670188.97025675,115336647.37268505,41222871.32330483,175942989.14351177,OK,STATE_MIN_20_PT,63103838.50557104
2025-01-17,Current_Portfolio,510854379.4690973,115366563.57055944,41336144.021366775,175983990.746416,OK,STATE_MIN_20_PT,63133754.703445435
2025-01-20,Current_Portfolio,511026766.5035435,115456552.2059191,41275242.700702965,176127290.46616638,OK,STATE_MIN_20_PT,63223743.338805094
2025-01-21,Current_Portfolio,510836631.95217836,115491054.99173045,40986919.036661506,176190976.79303128,OK,STATE_MIN_20_PT,63258246.124616444
