portfolio_name,expected_return_APT,volatility_APT,variance_APT,sharpe_ratio,var_95_historical,cvar_95_historical,downside_deviation,max_drawdown,skewness,kurtosis,turnover,herfindahl_index,equity_weight,state_weight,corporate_weight,active_constraints_count,number_of_regulatory_breaches,optimization_status,VaR_95_historical,CVaR_95_historical,HHI_concentration,sovereign_bond_weight,warning_flags,regulatory_status,VaR_95_period_loss,CVaR_95_period_loss,VaR_95_daily_loss,CVaR_95_daily_loss,RETURN_FREQUENCY,PERIODS_PER_YEAR,economic_review_flag
Current_Portfolio,0.10682570287532459,0.015453869795174114,0.0002388220916461948,1.9683082426116747,0.0004991421556087309,0.001023067671388748,0.004574482065439469,-0.002806828030925468,0.4050127755461479,2.5515653391404447,0.0,0.20606667132631065,0.1217819929501146,0.3473556219895601,0.5308623850603252,0,0,SOLVED,0.0004991421556087309,0.001023067671388748,0.20606667132631065,0.3473556219895601,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.0004991421556087309,0.001023067671388748,0.0004991421556087309,0.001023067671388748,daily,252,OK
Minimum_Variance,0.10668878819737185,0.008820214552000428,7.77961847433201e-05,3.433143767831397,0.0003463929759203348,0.0007833188927784872,0.00346228680682179,-0.002017943901301944,0.19725648003615565,2.056977058268293,0.29999956800021194,0.13616561500774052,0.08854981126802962,0.34751729289480165,0.5639328958371688,1,0,optimal,0.0003463929759203348,0.0007833188927784872,0.13616561500774052,0.34751729289480165,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.0003463929759203348,0.0007833188927784872,0.0003463929759203348,0.0007833188927784872,daily,252,HIGH_SHARPE_REQUIRES_ECONOMIC_REVIEW
Mean_Variance_lambda_2,0.11442939710478697,0.03094780140493151,0.0009577664117990806,1.228574302583332,0.0011969683471333803,0.0020489143322121616,0.00895061657913321,-0.005349586916657212,0.32241921622912295,0.8364689228947846,0.2999999699787914,0.13066634020760662,0.23854981949047027,0.3473553161250412,0.41409486438448845,2,0,optimal,0.0011969683471333803,0.0020489143322121616,0.13066634020760662,0.3473553161250412,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.0011969683471333803,0.0020489143322121616,0.0011969683471333803,0.0020489143322121616,daily,252,OK
Mean_Variance_lambda_5,0.11428939576085405,0.029321734767614974,0.0008597641297823607,1.2919314796291486,0.000906224408403693,0.0018217498004244605,0.007859725868755217,-0.00426178425664181,0.3275223365004764,0.8233709573610737,0.29999999335089617,0.13032306223726603,0.23854950237426037,0.3473556205477996,0.41409487707794,2,0,optimal,0.000906224408403693,0.0018217498004244605,0.13032306223726603,0.3473556205477996,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.000906224408403693,0.0018217498004244605,0.000906224408403693,0.0018217498004244605,daily,252,OK
Mean_Variance_lambda_10,0.11385028723217616,0.027560031108203407,0.0007595553146851395,1.3585820534068764,0.0008509902029213759,0.0016583092880216197,0.0071031406309982085,-0.00375579571373863,0.35592575125185716,0.7137324340645006,0.2999999731214063,0.1290717906197529,0.23854754850416637,0.34735564481657094,0.41409680667926263,2,0,optimal,0.0008509902029213759,0.0016583092880216197,0.1290717906197529,0.34735564481657094,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.0008509902029213759,0.0016583092880216197,0.0008509902029213759,0.0016583092880216197,daily,252,OK
Mean_Variance_lambda_20,0.11043364871687333,0.01612056567047702,0.0002598726375361623,2.110715333144429,0.00035481378274738047,0.0008806518122639767,0.003841421924020028,-0.0016739069549266405,0.26582506143699336,0.9951056869716179,0.29999995925021716,0.136009278870197,0.14891308633788658,0.3473556375035039,0.5037312761586095,1,0,optimal,0.00035481378274738047,0.0008806518122639767,0.136009278870197,0.3473556375035039,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.00035481378274738047,0.0008806518122639767,0.00035481378274738047,0.0008806518122639767,daily,252,OK
Max_Return,0.1146329819788659,0.03504926493021656,0.0012284509721485087,1.090615123533603,0.001705752373473164,0.0024243672264845388,0.011017344602950079,-0.009971483755646493,0.43865790448402625,0.8960811725476887,0.2999999944119817,0.13251969595980428,0.24458055379441312,0.34132457203321903,0.41409487417236773,2,0,optimal;AGGRESSIVE_PORTFOLIO,0.001705752373473164,0.0024243672264845388,0.13251969595980428,0.34132457203321903,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.001705752373473164,0.0024243672264845388,0.001705752373473164,0.0024243672264845388,daily,252,OK
MeanVariance_TurnoverPenalty,0.1117906434138571,0.027565809902706684,0.0007598738755921618,1.2835799115464068,0.0008402261211354737,0.0017096780306262434,0.007431722788589109,-0.004416389641721419,0.3433768182095608,1.1683413656995398,0.2335350181968292,0.12952003765002815,0.23854950171533001,0.34735562206684323,0.41409487621782687,1,0,optimal,0.0008402261211354737,0.0017096780306262434,0.12952003765002815,0.34735562206684323,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.0008402261211354737,0.0017096780306262434,0.0008402261211354737,0.0017096780306262434,daily,252,OK
Mean_CVaR_95,0.10908140836535977,0.013718193157095217,0.00018818882349537402,2.3817775718681116,0.00021353283550589396,0.0005027289888268357,0.002390412068037023,-0.0016459498196537137,0.7771705866362344,1.632244498808852,0.2999999876666527,0.13399426233846218,0.11265227080631186,0.34735563003819886,0.5399920991554893,1,0,optimal,0.00021353283550589396,0.0005027289888268357,0.13399426233846218,0.34735563003819886,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.00021353283550589396,0.0005027289888268357,0.00021353283550589396,0.0005027289888268357,daily,252,OK
Max_Sharpe,0.10722531257610492,0.00884266539373672,7.819273126558899e-05,3.4851017907674424,0.00033541621878642404,0.0008147476031531919,0.0035123492522929215,-0.001960341064687565,0.19319663503559173,2.0780485271507967,0.29999999950410816,0.15152485015407613,0.08854950315846266,0.34735619459086126,0.5640943022506762,1,0,Optimization terminated successfully,0.00033541621878642404,0.0008147476031531919,0.15152485015407613,0.34735619459086126,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.00033541621878642404,0.0008147476031531919,0.00033541621878642404,0.0008147476031531919,daily,252,HIGH_SHARPE_REQUIRES_ECONOMIC_REVIEW
