reference,bibliographic_note,role
Markowitz 1952,"Portfolio Selection. The Journal of Finance, 7(1), 77-91.","Minimum variance, moyenne-variance et frontière efficiente."
Markowitz 1959,Portfolio Selection: Efficient Diversification of Investments. Yale University Press.,Diversification efficiente.
Sharpe 1966,"Mutual Fund Performance. The Journal of Business, 39(1), 119-138.",Ratio de Sharpe.
Rockafellar & Uryasev 2000,"Optimization of Conditional Value-at-Risk. Journal of Risk, 2(3), 21-41.",Formulation Mean-CVaR.
Rockafellar & Uryasev 2002,"Conditional Value-at-Risk for General Loss Distributions. Journal of Banking & Finance, 26(7), 1443-1471.",Fondement CVaR.
"Maillard, Roncalli & Teiletche 2010","The Properties of Equally Weighted Risk Contribution Portfolios. Journal of Portfolio Management, 36(4), 60-70.",Risk Parity / Equal Risk Contribution.
"Lobo, Fazel & Boyd 2007","Portfolio Optimization with Linear and Fixed Transaction Costs. Annals of Operations Research, 152, 341-365.",Pénalité de turnover.
Boyd & Vandenberghe 2004,Convex Optimization. Cambridge University Press.,Optimisation convexe et contraintes.
Glasserman 2004,Monte Carlo Methods in Financial Engineering. Springer.,Simulation Monte Carlo.
CFA Institute,"Quantitative Investment Analysis, 4th Edition.",Mesures de risque et analyse quantitative.
Dachert et al. 2022,"Multicriteria asset allocation in practice. OR Spectrum, 44, 349-373.",Allocation multi-objectif.
"Braun, Schmeiser & Schreiber 2013",Portfolio Optimization Under Solvency II: Implicit Constraints Imposed by the Market Risk Standard Formula.,"Assurance, solvabilité et contraintes."
