portfolio_name,asset_id,asset_name,asset_class,asset_type,weight,marginal_risk_contribution,risk_contribution,risk_contribution_pct
Current_Portfolio,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.09810891836124348,-0.00036842370197980923,-3.61456508998842e-05,-0.0023389384910678913
Current_Portfolio,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829597420544005,-0.0003247429643692686,-2.2178637117961707e-05,-0.001435151027666066
Current_Portfolio,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.08741742590554248,-0.00017956736010367707,-1.5697316396917054e-05,-0.0010157531158842144
Current_Portfolio,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.04384954789740244,-0.0004130066843345711,-1.8110156386676146e-05,-0.0011718848823439375
Current_Portfolio,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.049683755619931644,-0.0005121287936133796,-2.5444481827817562e-05,-0.0016464796303488518
Current_Portfolio,TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.00997065925830081,-0.00026063626904941406,-2.598715429046521e-06,-0.0001681595266098359
Current_Portfolio,TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.019033921010505616,-0.00014742663970736716,-2.8061070150342975e-06,-0.0001815795688864015
Current_Portfolio,TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.028663436991747625,-0.00034717211302985157,-9.951145987123035e-06,-0.0006439258334006766
Current_Portfolio,TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.008434788786385707,-0.0003134957281739323,-2.644270252581306e-06,-0.0001711073205370897
Current_Portfolio,TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.416767509097986,-7.929678628853505e-05,-3.3048324100948085e-05,-0.0021385144652421176
Current_Portfolio,TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,0.00978296471188841,-0.00041586290016611756,-4.0683720773087004e-06,-0.00026325911446330153
Current_Portfolio,TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,0.0061743504717015054,-8.459356805363605e-05,-5.223103368148811e-07,-3.379802882628056e-05
Current_Portfolio,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.032034754731809625,-0.0008565529091903121,-2.743946236072965e-05,-0.00177557224982563
Current_Portfolio,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.021284820422600416,0.05096019129403009,0.0010846785203947956,0.07018814929665808
Current_Portfolio,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.016268993644244212,0.0722844161447139,0.001175994706836254,0.07609710204776605
Current_Portfolio,BIAT,BIAT,Actions cotées,listed_equity,0.006709687228526206,0.023972471092915323,0.0001608477831283476,0.010408252771650545
Current_Portfolio,BT,BT,Actions cotées,listed_equity,0.00013540269722430012,0.03644641803792308,4.934943306499169e-06,0.0003193338220074973
Current_Portfolio,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.001067390040554901,0.009726519453580572,1.03819899940154e-05,0.0006718051938846705
Current_Portfolio,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.0042553072149080036,0.041083560165848146,0.00017482316998784067,0.011312582046112095
Current_Portfolio,ENNAKL,ENNAKL,Actions cotées,listed_equity,0.027201435798298826,0.07121366448735147,0.0019371139225142842,0.12534814568705632
Current_Portfolio,PGH,PGH,Actions cotées,listed_equity,0.04485895590375774,0.24757040117089785,0.01110574970920092,0.718638752389967
