portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
Current_Portfolio,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.416767509097986,Obligations corporate
Minimum_Variance,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.2999999915257558,Obligations corporate
Mean_Variance_lambda_2,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.2999999983698189,Obligations corporate
Mean_Variance_lambda_5,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.30000000001921323,Obligations corporate
Mean_Variance_lambda_10,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.29999999953528544,Obligations corporate
Mean_Variance_lambda_20,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.2999999992278951,Obligations corporate
Max_Sharpe,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.3000000000108762,Obligations corporate
Max_Return,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.29999999972297353,Obligations corporate
Mean_CVaR_95,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.2999999997785018,Obligations corporate
Risk_Parity,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.3,Obligations corporate
MeanVariance_TurnoverPenalty,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.30000000004719996,Obligations corporate
MultiCriteria_Recommended_Portfolio,EO HL 2023-1,Obligations corporate,TNL7VQZVHR54,0.2999999997785018,Obligations corporate
Current_Portfolio,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810891836124348,Titres de l'État
Minimum_Variance,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.0981111877075414,Titres de l'État
Mean_Variance_lambda_2,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810889772059486,Titres de l'État
Mean_Variance_lambda_5,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810891809013701,Titres de l'État
Mean_Variance_lambda_10,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810892319239843,Titres de l'État
Mean_Variance_lambda_20,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810892159796417,Titres de l'État
Max_Sharpe,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810893283983058,Titres de l'État
Max_Return,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.0981089100800685,Titres de l'État
Mean_CVaR_95,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810892002950994,Titres de l'État
Risk_Parity,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.13389678425917773,Titres de l'État
MeanVariance_TurnoverPenalty,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810891837702879,Titres de l'État
MultiCriteria_Recommended_Portfolio,"BTA 7,4% 02/2030",Titres de l'État,BTA_7_4_02_2030,0.09810892002950994,Titres de l'État
